Id	rnase0	rnase1	rnase2	rnase3	rnase4	rnase5
2300005B03Rik	0	0	0	0	0	0
Atp5g2	14	98	906	642	708	608
Tm2d3	6	24	238	165	236	188
Pik3ca	7	13	100	68	120	135
Phf2	3	24	113	68	105	82
Srp54b	0	6	55	41	55	63
Figf	0	0	10	12	13	8
Cc2d1a	3	26	194	155	147	138
Lce1c	0	0	0	0	0	0
Krtap1-3	0	0	0	0	0	0
Dhrs7	2	7	107	113	125	124
Vwa5b1	0	2	7	6	6	4
Ascc3	4	2	58	43	56	50
Vmn1r188	0	0	0	0	0	0
Lsm7	6	30	169	124	131	126
Lama5	4	12	79	44	43	32
Asb9	0	0	0	0	0	0
Gm15093	0	0	0	0	0	0
Xrcc6bp1	1	3	29	24	28	27
Znrd1as	0	1	6	5	10	10
Krtap13-1	0	0	0	0	0	0
Cntnap5c	4	22	206	192	224	197
Tac2	1	3	10	8	15	21
Phc3	10	27	211	115	151	153
Vit	1	5	42	33	34	34
Gpt2	8	32	162	106	122	106
Olfr456	0	0	0	0	0	0
Taar7a	0	0	0	0	0	0
Nms	0	0	0	0	0	1
Prrt3	17	102	654	347	286	243
Zbtb12	1	9	29	18	17	23
Nxpe5	0	0	0	0	1	0
Vmn1r1	0	0	0	0	0	0
BC061194	0	1	0	1	2	1
Rapgef3	2	5	59	47	54	34
Olfr1314	0	0	0	0	0	0
2210016F16Rik	0	6	43	37	47	41
Vmn1r22	0	0	0	0	0	0
Med19	8	27	194	136	130	124
Spag1	1	4	23	24	29	25
Tcte2	0	0	0	3	0	1
Olfr1500	0	0	0	0	0	0
Rtn3	157	919	8716	6571	7127	7924
Rab3ip	4	27	154	138	151	106
U2af2	18	72	895	795	980	855
Vmn1r237	0	0	0	0	0	0
Ceacam5	0	0	0	0	0	0
Zbtb33	0	11	171	159	210	207
Pgam5	4	22	230	182	195	156
Paqr5	1	1	12	6	4	5
Trim11	0	12	82	54	39	27
Mpped2	3	11	107	96	95	102
Myrf	4	31	306	194	192	182
Abi1	19	98	757	592	656	542
Gramd1a	4	44	318	270	256	241
Olfr223	0	0	0	0	0	0
Sval3	0	0	0	0	0	0
Tmem132e	1	10	63	37	47	23
Shcbp1	0	0	8	2	8	5
Themis2	0	0	5	1	2	4
Tma16	0	3	36	41	54	60
Fbxo8	1	5	21	43	41	57
Mpg	3	5	26	32	39	24
Cbx3	13	43	493	773	1205	1165
Irf2bp1	4	53	337	195	150	142
Nedd4l	9	69	567	474	580	508
Timm8b	8	32	274	219	256	239
Olfr894	0	0	0	0	0	0
Cc2d1b	5	2	57	40	59	51
Olfr147	0	0	0	0	0	0
Olfr1030	0	0	0	0	0	0
Kcnj8	1	2	12	9	8	1
